GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,x_final,y_final,z_final,lat,lon,alt
2024-05-05 15:14:26.999670784+00:00,G02,14374227.180094955,-6515157.199350858,21807735.686681822,22988352.377031863,49.17548370361328,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G03,23241104.110372666,-12463541.26941748,2375462.19450228,24062903.732733235,49.22229766845703,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G08,24544963.15120331,4530915.964907193,9569010.898333354,20898009.63384275,49.1791877746582,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G10,-311557.7675247397,16544750.641802285,20904140.598094497,22942960.10432257,49.11487579345703,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G16,19831701.090618595,3858619.4028577525,-17804751.49513226,25878980.0784867,49.22208404541016,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G21,15523882.496715374,280574.30694180145,22039574.91021004,21891832.25789004,49.26508331298828,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G27,23282698.805183407,13228481.149192795,-1232341.2741358606,21710669.080098473,49.169227600097656,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G28,5202921.160813512,25547488.94875927,-5091080.32053165,24139506.87434624,49.21028900146485,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G31,10635615.510107303,19297037.159737516,-14753625.655829716,25026229.92142277,49.16963577270508,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G32,8917049.267383311,18328977.248069797,17347197.11238241,21383409.904766243,49.2364501953125,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G03,23241104.110372666,-12463541.26941748,2375462.19450228,24062903.732733235,12.0,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G08,24544963.15120331,4530915.964907193,9569010.898333354,20898009.63384275,12.0,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
2024-05-05 15:14:26.999670784+00:00,G10,-311557.7675247397,16544750.641802285,20904140.598094497,22942960.10432257,12.0,4717096.715801157,2873902.5004451014,3178514.820813565,30.08453869933302,31.35196264934229,-16.58270764897267
